Core-index,Vocab-expression,Vocab-kana,Vocab-meaning,jlpt ,Vocab-pos
53,一つ,ひとつ,one (thing),JLPT4,Noun
294,二つ,ふたつ,two (things),JLPT4,Noun
397,円,えん,yen,JLPT2,Noun
342,金,かね,money,JLPT2,Noun
6,これ,これ,this; this one,JLPT4,Noun
293,水曜日,すいようび,Wednesday,JLPT4,Noun
275,あれ,あれ,that over there,JLPT4,Noun
351,先,さき,ahead; first,JLPT4,Noun
318,八日,ようか,eight days; 8th of the month,JLPT4,Noun
288,そば,そば,side; vicinity,JLPT4,Noun
289,こっち,こっち,here,JLPT3,Pronoun
185,右,みぎ,right,JLPT4,Noun
54,あげる,あげる,give,JLPT3,Verb
105,ここ,ここ,here,JLPT4,Pronoun
124,とても,とても,very,JLPT4,Adverb
322,七,なな,seven,JLPT2,Noun
363,手,て,hand,JLPT4,Noun
249,おなか,おなか,stomach,JLPT4,Noun
263,空く,すく,be empty,JLPT2,Verb
359,一日,ついたち,1st of the month,JLPT4,Noun
212,日曜日,にちようび,Sunday,JLPT4,Noun
367,七つ,ななつ,seven (things),JLPT4,Noun
160,どれ,どれ,what; which,JLPT4,Noun
8,私,わたし,I,JLPT2,Noun
158,好き,すき,favorite; liked,JLPT4,Adjectival Noun
233,ゲーム,ゲーム,game,JLPT2,Noun
372,一人,ひとり,one; one person,JLPT4,Noun
151,友達,ともだち,friend; companion,JLPT4,Noun
76,帰る,かえる,return; go back,JLPT4,Verb
191,元気,げんき,healthy; energetic,JLPT4,Adjective
235,天気,てんき,weather,JLPT4,Noun
29,少ない,すくない,few; little,JLPT2,Adjective
259,晴れる,はれる,be sunny; clear up,JLPT4,Verb
332,上,うえ,up; above,JLPT4,Noun
200,ドア,ドア,door,JLPT4,Noun
273,開く,ひらく,open,JLPT3,Verb
346,口,くち,mouth,JLPT4,Noun
251,閉める,しめる,shut; close,JLPT4,Verb
18,時間,じかん,time; hour,JLPT4,Noun
298,六日,むいか,six days; 6th of the month,JLPT4,Noun
209,後ろ,うしろ,back; behind,JLPT0,Noun
364,十日,とおか,ten days; 10th of the month,JLPT4,Noun
60,午前,ごぜん,morning; a.m.,JLPT4,Noun
295,今晩,こんばん,this evening; tonight,JLPT4,Noun
239,土曜日,どようび,Saturday,JLPT4,Noun
253,金曜日,きんようび,Friday,JLPT4,Noun
360,月,つき,moon,JLPT2,Noun
386,夜,よる,night (from sunset to sunrise),JLPT4,Noun
109,食べる,たべる,eat,JLPT4,Verb
368,何,なに,what; which,JLPT4,Noun
238,晩,ばん,evening (usually from sunset to bedtime),JLPT4,Noun
265,ご飯,ごはん,cooked rice; meal,JLPT0,Noun
317,三つ,みっつ,three (things),JLPT4,Noun
214,昼,ひる,daytime; midday,JLPT4,Noun
400,見つかる,みつかる,be found; be caught,JLPT3,Verb
1,それ,それ,that; that one,JLPT4,Pronoun
338,男,おとこ,man; male,JLPT4,Noun
272,今週,こんしゅう,this week,JLPT4,Noun
