kid,character,strokes,grade,jlpt,readings,translation,freq,rank
41,一,1,1,4,イチ、イツ、ひと、ひと-つ,one; a,1037182,9
1392,丁,2,3,1,チョウ、テイ,fourth; adult male; servant. counter for guns; tools; orders of food; leaves; blocks or cakes of something; even number,14027,1302
829,七,2,1,4,シチ、なな、なな-つ、[なの],seven,55012,743
1906,万,3,2,4,マン、バン,ten thousand; myriad. fully; if by any chance,409412,93
1010,丈,3,7,1,ジョウ、たけ,10 feet; length; measure; Mr. or Mrs. (re: artists),15154,1268
744,三,3,1,4,サン、み、み-つ、みっ-つ,three,304749,152
1009,上,3,1,4,ジョウ、[ショウ]、うえ、[うわ]、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す,top; best; first volume. upper part; government. aboard a ship or vehicle; from the standpoint of; as a matter of (fact). governmental; imperial; best; high class; going up; presenting; showing,862397,15
131,下,3,1,4,カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる,low class; inferiority; second; or last volume,390613,99
1736,不,4,4,3,フ、ブ,negation; bad; clumsy; ugly,379808,106
1986,与,3,7,2,ヨ、あた-える,give; award; impart; provide; allot; cause (pain or damage) ,149687,334
242,且,5,7,-,か-つ,-,85,2129
1105,世,5,3,3,セイ、セ、よ,generation; world. age; counter for kings of the same name,356337,118
363,丘,5,7,1,キュウ、おか,hill; knoll; rising ground,9788,1439
1788,丙,5,7,1,ヘイ,C; third,192,2108
2061,両,6,3,2,リョウ,old Japanese coin; both; two; vehicle counter,152434,327
1792,並,8,6,2,ヘイ、なみ、なら-べる、なら-ぶ、なら-びに,line up; be in a row; rank with; rival; equal ,52167,759
1376,中,4,1,4,チュウ、[ジュウ]、なか,center; middle; middle (course); (golden) mean; medium; mediocrity; average; second volume (of three) ,1327113,8
456,串,7,7,-,くし,-,1217,1944
292,丸,3,2,2,ガン、まる、まる-い、まる-める,full (month); perfection; purity; the ship-name suffix anciently used after the name of a sword or a child,51748,761
1333,丹,4,7,1,タン,red; red lead; pills,11381,1379
864,主,5,3,3,シュ、[ス]、ぬし、おも,Lord; lord; master; employer; aim; main thing ,478885,76
1567,丼,5,7,1,どんぶり、[どん],-,2358,1846
360,久,3,5,2,キュウ、[ク]、ひさ-しい,long; long continued; an old (story),86023,554
1853,乏,4,7,1,ボウ、とぼ-しい,meager; scarce; limited; destitute; hard up ,6046,1593
1014,乗,9,3,2,ジョウ、の-る、の-せる,power (in math); multiplication; record; vehicle; vehicle counter,109192,453
124,乙,1,7,1,オツ,B; second; the latter; duplicate,2172,1860
359,九,2,1,4,キュウ、ク、ここの、ここの-つ,nine,83167,575
650,乞,3,7,-,こ-う,-,273,2088
2029,乱,7,6,2,ラン、みだ-れる、みだ-す,riot; rebellion; war,43946,834
1585,乳,8,6,2,ニュウ、ちち、ち,milk; the breasts; loop,18871,1179
259,乾,11,7,2,カン、かわ-く、かわ-かす,heaven; emperor,7656,1507
